px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-19.3799	-9.30075	4.97416	2.94349	-0.484458	-19.2983	-9.09865	-19.3694	-9.46265	-4.76378	0.897083	0.010101
-19.6169	-9.21339	4.94899	2.88273	-0.578212	-19.7037	-8.79906	-19.6069	-9.41472	-4.73591	1.01907	0.025
-19.874	-9.07375	5.03404	2.80943	-0.649755	-19.8731	-8.96417	-19.8431	-9.36071	-4.70487	1.1408	0.010101
-20.1179	-8.96399	5.0891	2.77433	-0.626848	-20.3815	-7.6755	-20.0775	-9.30061	-4.67066	1.26215	0.025
-20.2593	-9.15861	4.67379	2.90358	-0.387816	-20.1607	-9.59663	-20.3102	-9.23446	-4.63328	1.38303	0.0114286
-20.4951	-9.12853	4.69378	2.90872	-0.328715	-20.4587	-9.7448	-20.5409	-9.16227	-4.59271	1.50334	0.025
-20.7229	-9.01747	4.74206	2.86022	-0.380529	-20.6596	-8.91527	-20.7696	-9.08409	-4.54895	1.62296	0.0114286
-20.9654	-8.93639	4.7656	2.82822	-0.416439	-21.5568	-8.5005	-20.9959	-8.99994	-4.50202	1.74179	0.025
-21.1594	-8.8698	4.70397	2.81132	-0.410197	-21.0195	-8.85081	-21.2198	-8.90987	-4.45191	1.85972	0.0114286
-21.3924	-8.7833	4.71227	2.77866	-0.449674	-21.8628	-8.64129	-21.4412	-8.81393	-4.39865	1.97666	0.025
-21.5781	-8.77202	4.58399	2.79806	-0.382238	-21.5029	-8.87191	-21.6597	-8.71217	-4.34224	2.0925	0.0114286
-21.7679	-8.62384	4.52485	2.70167	-0.587738	-21.9514	-7.41274	-21.8754	-8.60465	-4.2827	2.20712	0.025
-21.9686	-8.54156	4.50425	2.68241	-0.571403	-21.9793	-8.57089	-22.0881	-8.49143	-4.22007	2.32043	0.0114286
-22.1782	-8.44609	4.55907	2.68444	-0.464641	-22.1914	-7.70392	-22.2975	-8.37258	-4.15437	2.43232	0.025
-22.4162	-8.33359	4.62753	2.6605	-0.464797	-22.5838	-8.35296	-22.5035	-8.24817	-4.08564	2.5427	0.0114286
-22.6053	-8.22223	4.59254	2.62651	-0.500008	-22.3177	-8.57758	-22.7061	-8.11829	-4.01391	2.65145	0.025
-22.8615	-7.93224	4.89752	2.51401	-0.630653	-22.9861	-7.6724	-22.9049	-7.98301	-3.93923	2.75848	0.0165746
-23.0558	-7.77371	4.88385	2.45158	-0.736587	-23.2693	-8.32031	-23.1	-7.84243	-3.86163	2.8637	0.025
-23.2841	-7.58442	4.9914	2.40827	-0.74209	-23.4777	-7.56583	-23.2911	-7.69663	-3.78118	2.967	0.0165746
-23.4896	-7.44938	5.01339	2.43659	-0.535583	-23.473	-7.02103	-23.4781	-7.54572	-3.69792	3.06828	0.025
-23.6502	-7.31828	4.92291	2.41857	-0.527216	-23.5408	-7.36069	-23.6609	-7.3898	-3.61191	3.16746	0.0165746
-23.845	-7.15088	4.95879	2.40512	-0.478466	-24.0505	-6.56968	-23.8393	-7.22897	-3.52321	3.26445	0.025
-23.998	-7.08641	4.75683	2.41833	-0.430639	-23.9384	-7.26171	-24.0132	-7.06336	-3.43189	3.35916	0.0165746
-24.1655	-6.9006	4.77021	2.37112	-0.501439	-24.3577	-5.94086	-24.1825	-6.89307	-3.33801	3.45149	0.025
-24.3337	-6.62819	4.93717	2.30201	-0.56554	-24.2574	-6.4352	-24.347	-6.71823	-3.24166	3.54138	0.0165746
-24.5019	-6.44853	4.92325	2.2628	-0.622459	-24.788	-7.18367	-24.5066	-6.53896	-3.14289	3.62873	0.025
-24.5885	-6.33535	4.70629	2.24395	-0.609313	-24.3008	-6.43799	-24.6612	-6.35538	-3.0418	3.71347	0.0165746
-24.7301	-6.14916	4.70888	2.2185	-0.586971	-24.6108	-6.00878	-24.8107	-6.16764	-2.93846	3.79553	0.025
-24.9168	-5.93516	4.80863	2.19457	-0.576512	-25.146	-5.91902	-24.955	-5.97587	-2.83295	3.87484	0.0165746
-25.049	-5.72778	4.82711	2.16797	-0.552852	-24.8975	-5.02285	-25.094	-5.7802	-2.72537	3.95132	0.025
-25.1797	-5.56754	4.7506	2.15367	-0.535549	-25.1941	-5.64372	-25.2276	-5.58079	-2.61581	4.02492	0.0165746
-25.3342	-5.38279	4.76679	2.16201	-0.427169	-25.5328	-5.4399	-25.3556	-5.37777	-2.50435	4.09557	0.025
-25.4847	-5.15167	4.84786	2.13704	-0.430822	-25.5713	-5.10241	-25.4779	-5.1713	-2.39109	4.16322	0.0165746
-25.6133	-4.98	4.79837	2.14508	-0.33867	-25.0178	-6.55904	-25.5946	-4.96152	-2.27613	4.22781	0.025
-25.7303	-4.82223	4.70279	2.13822	-0.325219	-25.6952	-4.89995	-25.7055	-4.7486	-2.15956	4.2893	0.0165746
-25.8476	-4.61704	4.70275	2.11259	-0.352658	-25.8162	-4.40681	-25.8105	-4.53268	-2.04149	4.34764	0.025
-25.9677	-4.36231	4.80367	2.07922	-0.375484	-25.9516	-4.26659	-25.9096	-4.31392	-1.92202	4.40279	0.0165746
-26.0736	-4.13615	4.78894	1.99877	-0.612461	-26.8953	-4.43966	-26.0027	-4.0925	-1.80125	4.45471	0.0273224
-26.1657	-3.83275	4.9505	1.94277	-0.647824	-26.1198	-3.67723	-26.0897	-3.86856	-1.67928	4.50337	0.0165746
-26.2415	-3.58927	4.96067	1.87335	-0.783522	-26.5652	-3.85723	-26.1706	-3.64227	-1.55623	4.54875	0.0273224
-26.2609	-3.31988	4.98723	1.80873	-0.817625	-25.9974	-3.24722	-26.2453	-3.41381	-1.4322	4.59081	0.0165746
-26.3156	-3.07698	4.98708	1.77078	-0.806533	-26.2976	-3.01078	-26.3138	-3.18332	-1.30729	4.62954	0.0273224
-26.3289	-2.85056	4.92917	1.72163	-0.821834	-26.1741	-2.87885	-26.376	-2.95098	-1.18162	4.66493	0.0165746
-26.3924	-2.63033	4.88794	1.72354	-0.686076	-26.4681	-3.44967	-26.4319	-2.71697	-1.05529	4.69696	0.0273224
-26.461	-2.50377	4.66351	1.71574	-0.665808	-26.674	-2.73852	-26.4815	-2.48143	-0.928411	4.72562	0.0205128
-26.5198	-2.26909	4.68188	1.71984	-0.537791	-26.657	-1.72382	-26.5247	-2.24456	-0.80109	4.75091	0.0273224
-26.5688	-2.08215	4.59408	1.70397	-0.526551	-26.6691	-2.17333	-26.5616	-2.0065	-0.673434	4.77284	0.0205128
-26.6004	-1.84706	4.61055	1.69793	-0.442985	-26.3248	-1.32261	-26.5921	-1.76744	-0.545553	4.79141	0.0273224
-26.6019	-1.59058	4.66087	1.66303	-0.45979	-26.4671	-1.53207	-26.6161	-1.52753	-0.417552	4.80664	0.0205128
-26.5958	-1.36917	4.63275	1.60629	-0.574825	-26.4998	-2.19526	-26.6338	-1.28695	-0.289538	4.81852	0.0273224
-26.6005	-1.13955	4.62904	1.57758	-0.574841	-26.5998	-1.14277	-26.6451	-1.04586	-0.161616	4.8271	0.0205128
-26.6304	-0.920996	4.60673	1.56782	-0.536224	-27.2008	-1.67679	-26.65	-0.804425	-0.0338883	4.83238	0.0273224
-26.6448	-0.657573	4.68276	1.54767	-0.52516	-26.7355	-0.59539	-26.6485	-0.562811	0.0935412	4.83439	0.0205128
-26.6307	-0.416213	4.70659	1.49543	-0.626778	-26.9891	0.0351487	-26.6406	-0.321181	0.220572	4.83317	0.0273224
-26.5848	-0.0990984	4.88561	1.45299	-0.637284	-26.4553	0.0602653	-26.6264	-0.0796947	0.347104	4.82874	0.0205128
-26.5666	0.142832	4.8887	1.42361	-0.644737	-26.9537	0.136943	-26.6059	0.161489	0.473041	4.82116	0.0273224
